scientific_name,author,year,bibliography,image_url,family,genus,plant_wiki,plant_id
Carex lyngbyei,Hornem.,1827.0,"G.C.Oeder & al. (eds.), Fl. Dan.: t. 1888 (1827)",https://d2seqvvyy3b8p2.cloudfront.net/5c4d39c7e963305ed686fe4781a45c6a.jpg,Cyperaceae,Carex,https://en.wikipedia.org/wiki/Carex_lyngbyei,590
Parablechnum cordatum,Gasper & Salino (Desv.),1908.0,Hedwigia 47: 239 (1908),https://bs.plantnet.org/image/o/1b7064f1b8a147ef6a225eb64606937d2e61112e,Aspleniaceae,Parablechnum,https://en.wikipedia.org/wiki/Parablechnum_cordatum,591
Aglaia subminutiflora,C.DC.,1903.0,"Bull. Herb. Boissier, sér. 2, 3: 175 (1903)",https://d2seqvvyy3b8p2.cloudfront.net/96b132e530c5f1abb7777669e493cbbe.jpg,Meliaceae,Aglaia,https://en.wikipedia.org/wiki/Aglaia,592
Castanospermum australe,A.Cunn. ex Mudie,1829.0,Pict. Australia: 149 (1829),https://bs.plantnet.org/image/o/f673501d355e10b9f9eeda6e02d00ab6fa178401,Fabaceae,Castanospermum,https://en.wikipedia.org/wiki/Castanospermum,593
Piper dilatatum,Rich.,1792.0,Actes Soc. Hist. Nat. Paris 1: 105 (1792),https://bs.plantnet.org/image/o/483ade60a53d7b1bc3f62ba46601d0890fee37c0,Piperaceae,Piper,https://en.wikipedia.org/wiki/List_of_Piper_species,594
Gossypium herbaceum,L.,1753.0,Sp. Pl.: 693 (1753),https://bs.plantnet.org/image/o/6cbe53999f1b965b148cc57785fd047c800ce1df,Malvaceae,Gossypium,https://en.wikipedia.org/wiki/Gossypium_herbaceum,595
Cecropia peltata,L.,1759.0,Pl. Jamaic. Pug.: 28 (1759),https://bs.plantnet.org/image/o/85efe2a72bea755e6fa452c736cf2f228f83c923,Urticaceae,Cecropia,https://en.wikipedia.org/wiki/Cecropia_peltata,596
Lotus corniculatus,L.,1753.0,Sp. pl. 2:775.  1753,https://bs.plantnet.org/image/o/c2180ef57b83b419e4b851c058003d56ad2c6bbe,Fabaceae,Lotus,https://en.wikipedia.org/wiki/Lotus_corniculatus,597
Lannea coromandelica,(Houtt.) Merr.,1938.0,J. Arnold Arbor. 19: 353 (1938),https://d2seqvvyy3b8p2.cloudfront.net/a3edd72e6f129d52ceccaefa55455f52.jpg,Anacardiaceae,Lannea,https://en.wikipedia.org/wiki/Lannea_coromandelica,598
Oxera splendida,Gâteblé & Barrabé (F.Muell.),2015.0,Bot. J. Linn. Soc. 179: 707 (2015),https://d2seqvvyy3b8p2.cloudfront.net/765e578f546844065ec34302702deb32.jpg,Lamiaceae,Oxera,https://en.wikipedia.org/wiki/Oxera_splendida,599
Diplazium sylvaticum,(Bory) Sw.,1867.0,(1867),https://d2seqvvyy3b8p2.cloudfront.net/bb6b46051301181079ac46d8f03074a3.jpg,Aspleniaceae,Diplazium,https://en.wikipedia.org/wiki/List_of_pteridophytes_of_Sri_Lanka,600
Allamanda schottii,Pohl,1827.0,Pl. Bras. Icon. Descr. 1: 73 (1827),https://bs.plantnet.org/image/o/44bfdb927d5c60c7d48d9da521f08b30749468e5,Apocynaceae,Allamanda,https://en.wikipedia.org/wiki/Allamanda_schottii,601
Paspalum sumatrense,Roth,1817.0,"J.J.Roemer & J.A.Schultes, Syst. Veg., ed. 15 bis 2: 316 (1817)",https://d2seqvvyy3b8p2.cloudfront.net/53bf21af9edbe9572fcdc7227e453fb9.jpg,Poaceae,Paspalum,https://en.wikipedia.org/wiki/Millet,602
Mycetia cauliflora,Reinw.,1825.0,Syll. Pl. Nov. 2: 9 (1825),https://d2seqvvyy3b8p2.cloudfront.net/cc759c2361a5337a5710a7627789a275.jpg,Rubiaceae,Mycetia,https://en.wikipedia.org/wiki/Mycetia,603
